iter	Passed	Remaining
206	5966	138150
207	5996	138139
208	6023	138088
209	6056	138135
210	6085	138112
211	6113	138082
212	6145	138113
213	6175	138111
214	6204	138090
215	6233	138061
216	6258	137942
217	6287	137924
218	6320	137982
219	6348	137931
220	6377	137908
221	6408	137921
222	6442	138014
223	6470	137963
224	6496	137867
225	6526	137868
226	6552	137784
227	6577	137663
228	6607	137652
229	6635	137604
230	6662	137555
231	6694	137576
232	6721	137516
233	6753	137553
234	6782	137522
235	6811	137499
236	6838	137433
237	6868	137430
238	6897	137398
239	6925	137348
240	6952	137291
241	6979	137222
242	7009	137209
243	7037	137164
244	7065	137121
245	7092	137060
246	7120	137026
247	7149	136991
248	7178	136968
249	7205	136912
250	7233	136866
251	7262	136832
252	7289	136778
253	7317	136735
254	7344	136670
255	7373	136632
256	7402	136612
257	7432	136599
258	7459	136554
259	7487	136497
260	7515	136467
261	7544	136432
262	7572	136395
263	7598	136307
264	7624	136238
265	7652	136186
266	7681	136169
267	7709	136130
268	7740	136137
269	7771	136151
270	7802	136152
271	7831	136124
272	7858	136074
273	7887	136045
274	7915	136008
275	7943	135963
276	7972	135930
277	8000	135888
278	8029	135860
279	8056	135806
280	8084	135769
281	8113	135741
282	8140	135687
283	8170	135679
284	8197	135623
285	8225	135576
286	8251	135510
287	8279	135468
288	8307	135428
289	8334	135357
290	8362	135325
291	8392	135317
292	8419	135251
293	8446	135194
294	8474	135159
295	8503	135137
296	8532	135109
297	8558	135047
298	8586	135000
299	8616	134984
300	8646	134986
301	8674	134946
302	8702	134899
303	8730	134863
304	8759	134836
305	8789	134832
306	8817	134796
307	8847	134774
308	8873	134716
309	8902	134681
310	8931	134655
311	8957	134593
312	8988	134597
313	9017	134578
314	9046	134543
315	9073	134494
316	9101	134450
317	9131	134442
318	9160	134415
319	9188	134383
320	9215	134326
321	9242	134280
322	9272	134271
323	9300	134232
324	9334	134266
325	9361	134218
326	9389	134176
327	9420	134178
328	9447	134134
329	9475	134095
330	9505	134077
331	9530	134006
332	9560	133985
333	9589	133964
334	9617	133920
335	9639	133808
336	9668	133781
337	9697	133753
338	9725	133716
339	9753	133678
340	9783	133666
341	9813	133653
342	9840	133609
343	9869	133578
344	9897	133550
345	9926	133523
346	9954	133481
347	9980	133414
348	10010	133400
349	10038	133368
350	10068	133360
351	10096	133324
352	10127	133320
353	10158	133318
354	10184	133259
355	10212	133223
356	10241	133203
357	10270	133167
358	10298	133137
359	10325	133089
360	10354	133059
361	10385	133066
362	10413	133025
363	10442	133004
364	10472	132981
365	10499	132934
366	10527	132898
367	10555	132861
368	10585	132849
369	10612	132803
370	10639	132750
371	10669	132738
372	10699	132719
373	10726	132680
374	10756	132660
375	10789	132681
376	10819	132671
377	10847	132632
378	10876	132618
379	10905	132587
380	10932	132535
381	10961	132518
382	10990	132483
383	11016	132423
384	11045	132401
385	11073	132369
386	11103	132348
387	11134	132348
388	11165	132350
389	11192	132296
390	11219	132249
391	11246	132204
392	11275	132183
393	11305	132162
394	11332	132113
395	11358	132062
396	11389	132051
397	11415	132000
398	11445	131985
399	11474	131958
400	11506	131968
401	11534	131930
